1;1;1
1;2;2
1;3;3
1;4;4
1;5;5
1;6;6
1;7;7
1;8;78
1;9;89
1;10;90
1;11;8
1;12;6
1;13;5
1;14;4
1;15;3
1;16;3
1;17;4
1;18;4
1;19;3
1;20;4
1;21;4
1;22;5
1;23;5
1;24;4
1;25;4
1;26;3
1;27;4
1;28;4
1;29;5
1;30;6
1;31;54
1;32;4
1;33;1
1;34;4
1;35;5
1;36;3
1;37;3
1;38;4
1;39;5
1;40;6
2;1;2
2;2;2
2;3;2
2;4;2
2;5;2
2;6;3
2;7;3
2;8;3
2;9;3
2;10;3
3;11;4
3;12;4
3;13;4
3;14;4
3;15;4
5;16;5
5;17;5
5;18;5
5;19;5
5;20;5
10;21;6
10;22;6
10;23;6
10;24;6
10;25;6
10;26;7
10;27;7
10;28;7
10;29;7
10;30;7
10;31;8
10;32;8
10;33;8
10;34;8
10;35;8
15;36;9
15;37;9
15;38;9
15;39;9
15;40;9
15;41;0
15;42;0
15;43;0
15;44;0
15;45;0
15;46;4
15;47;4
15;48;4
15;49;4
15;50;4
